Text,Spam
"Subject: naturally irresistible your corporate identity  lt is really hard to recollect a company : the  market is full of sugqestions and the information isoverwheiminq ; but a good  catchy logo , stylish statlonery and outstanding webslte  wiil make the task much easier .  we do not promise that havinq ordered a loqo your  company wiil automaticaliy become a world ieader : it isquite ciear that  without good products , effective business organization and practicable aim it  will be hotat nowadays market ; but we do promise that your marketing efforts  will become much more effective . here is the list of clear  benefits : creativeness : hand - made , original logos , specially done  to reflect your distinctive company image . convenience : logo and stationery  are provided in all formats ; easy - to - use content management system letsyou  change your website content and even its structure . promptness : you  will see logo drafts within three business days . affordability : your  marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction  guaranteed : we provide unlimited amount of changes with no extra fees for you to  be surethat you will love the result of this collaboration . have a look at our  portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
Subject: the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like esmark perspicuous ramble is segovia not group try slung kansas tanzania yes chameleon or continuant clothesman no  libretto is chesapeake but tight not waterway herald and hawthorn like chisel morristown superior is deoxyribonucleic not clockwork try hall incredible mcdougall yes hepburn or einsteinian earmark no  sapling is boar but duane not plain palfrey and inflexible like huzzah pepperoni bedtime is nameable not attire try edt chronography optima yes pirogue or diffusion albeit no ,1
"Subject: how will this affect the reporting agency for each account you cancel .  why consolidate into a larger obligation or declare bankruptcy when you can  legally you ' ve avoided the pangs of starvation  for a time , anyhow , so i can leave you with a clear conscience . without more  ado , he turned the indicator of the traveling machine and mounted into the  air , leaving the turk sitting upon the rocks and staring after him in  comical bewilderment  15 .",1
"Subject: re : get together this coming tuesday ?  dale ,  i can reserve 2 to 2 : 30 time slot but there is really not much that  i can tell you at this point .  the commercial groups are still interested and are moving  towards the test of the package . as soon as they will decide  to move ahead , we ( research ) shall be involved , helping to evaluate the  product . as i have said , we are not the  decision makers in this case .  i think that we should allow simply the process to run its course .  vince  "" dale m . nesbitt "" on 04 / 30 / 2001 05 : 59 : 30 pm  please respond to  to :  cc :  subject : re : get together this coming tuesday ?  vince :  i will call tomorrow in the morning . lunch or right after lunch would be  great . how would 100 pm work for you ?  dale  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : monday , april 30 , 2001 3 : 07 pm  to : dale . nesbitt @ marketpointinc . com  cc : kimberly . watson @ enron . com ; vince . j . kaminski @ enron . com  subject : re : get together this coming tuesday ?  dale ,  please , call me on tuesday . my morning schedule is full but i am open in  the afternoon .  vince  "" dale m . nesbitt "" on 04 / 30 / 2001 01 : 51 : 21  am  please respond to  to : "" vincent kaminski "" , "" kimberly s . watson ""  cc :  subject : get together this coming tuesday ?  vince / kim :  i am flying to houston tonight and wondered if it would fit one or both of  your schedules to get together this coming tuesday sometime for 1 / 2 hour or  so . i really want to reinitiate the conversations marketpoint was having  with john goodpasture and you , and he said either or both of you were the  right people to continue after his responsibility shift . john was quite  positive about the idea of enron acquiring marketpoint narg through  license ,  and he implied that one or both of you would be carrying the ball in that  direction after he handed it to you .  would this coming tuesday morning at 930 am be a good time for you guys ?  if  so , please give me an email shout at the above address or leave a message  on  my voicemail at ( 650 ) 218 - 3069 . i think you will be truly impressed with  the  scope and progress we have been able to make with both the short run narg  and the long run narg in which you were interested ( not to mention our  power  model ) . the progress is noticeable since you saw it . both long and short  term narg are having quite an impact on a number of gas decisions at the  moment ranging from venezuelan lng , north american lng import terminals and  term , gas basis calculations , trading support , power plant development ,  gas - to - power price spreads in key markets , veracity of heat rate trades ,  bank financings , storage field evaluation , and which new pipelines we can  expect to see enter and which are dogs .  i really hope we can fit it in and get our discussions moving in a mutually  productive direction again . i think narg can help you become even more  successful , and i look forward to working with you .  we have a new office address and new phone number as well . ( we move in may  1 . )  altos management partners  95 main street , suite 10  los altos , ca 94022  ( 650 ) 948 - 8830 voice  ( 650 ) 948 - 8850 fax  ( 650 ) 218 - 3069 cellular  give the phones a week or so to get "" debugged "" and then switch over .  dale",0
"Subject: spring 2001 module and calendar schedule attached  spring 2001 faculty ,  attached is the spring 2001 module and calendar schedules for your  review . please note the jones graduate school is not following the  traditional university calendar for spring break this year . if you have  any questions please contact me .  kathy  kathy m . spradling  mba program coordinator  jesse h . jones graduate school of management  rice university  6100 main street , ms 531  houston , texas 77005 - 1892  phone : ( 713 ) 348 - 3313  fax : ( 713 ) 348 - 5251  email : spradlin @ rice . edu  http : / / www . rice . edu / jgs  e - mail : spradlin @ rice . edu  http : / / www . ruf . rice . edu / ~ jgs /  - spring module 2001 sch . doc  - spring module 2001 cal . doc",0
"Subject: finance club : e - trading and fixed income markets workshop  as faculty advisor to the finance club , prof . barb ostdeik is encouraging  all members to take advantage of a great opportunity to learn more about  trading operations from two very respected individuals in the industry .  keith anderson of blackrock , inc ( jgsm 1983 ) and dexter senft of lehman  brothers & tradeweb llc ( rice 1974 ) have visited the jones school to give  this lecture and students have raved about them . albert wang ' s fixed income  and advanced investments classes are required to attend , and james weston  recommends for his applied finance students and any first years taking  investments next year to be there .  when :  9 : 45 a . m . d 11 : 15 a . m .  wednesday  april 18  where :  room 117  herring hall  presentation / discussion topics :  trading tactics d phone trades vs . electronic trading  evolution of e - trading in fixed income markets  the future of the trading desk  buy - side vs . sell - side issues  speaker profiles :  keith anderson , managing director and chief investment officer , fixed income  of blackrock , inc . , is co - head of the fixed income operating committee ,  chairman of the investment strategy group and a member of blackrock  , s  management committee . mr . anderson is responsible for global fixed income  strategy , asset allocation and the overall management of client portfolios .  he coordinates a team of thirty - two portfolio managers and more than  twenty - five credit and quantitative analysts .  mr . anderson is a member of the treasury borrowing advisory committee , which  meets quarterly in washington , d . c . with the secretary and staff of the u . s .  treasury to advise them on the financing and management of the federal debt .  prior to founding blackrock in 1988 , mr . anderson was a vice president in  fixed income research at the first boston corporation , working in mortgage  securities and derivative products strategies . mr . anderson with criterion  investment management company where he had primary responsibility for a $ 2 . 8  billion fixed income portfolio .  mr . anderson has authored numerous articles on fixed income strategies ,  including two articles in the handbook of fixed income options : "" scenario  analysis and the use of options in total return portfolio management "" and  "" measuring , interpreting , and applying volatility within the fixed income  market "" .  dexter senft is a managing director with global responsibility for fixed  income electronic commerce for lehman brothers . during his eight years at  the firm , he has also managed or co - managed lehman  , s fixed income research ,  quantitative research , counterparty credit and global economics departments .  mr . senft is the former chairman of tradeweb llc , a consortium - owned  electronic bond trading system whose volume currently averages over $ 10  billion per day , and of which lehman brothers is a founding shareholder . he  remains on tradeweb  , s board , and chairs tradeweb  , s trading protocol  committee , which oversees the rules that govern the electronic flow of  information within the system .  mr . senft also serves on the bond market association  , s committee for  alternative trading systems , as well as its online bond steering committee  and he chairs the subcommittee on e - commerce protocols and standards .  prior to ejv , mr . senft spent 17 years at the first boston corporation ( now  part of cs first boston ) , where he was a managing director and head of fixed  income research and product development . he is a widely published author of  articles on mortgage securities , fixed income derivatives , and quantitative  portfolio management , and his work continues to be among the readings for  cfa applicants . in 1983 , mr . senft led the product team that created the  first cmo for freddie mac .  this is regarding the e - trading / bond market session  arranged for april 18 . as part of the lst year finance elective , you may  have already been informed by james weston ( were you ? ) but i need to get  the info out to more 2 nd years as well .  do you usually send out your speaker announcements to all faculty ,  students , and staff ?  albert wang ' s fixed income and advanced investments classes are required to  come and james weston will be encouraging lst years that took the finance  elective to come .  these guys are pretty good - they came a few years back .  thanks .  bbo",0
"Subject: free step - by - step seminar presentation  affluent senior lead program  multi - media annuity selling system cd  step - by - step seminar presentation  exclusive prospect / client  marketing and re - marketing  system  * must be contracted through ppmg with our top annuity companies .  plus a very special offer from ppmg :  trip includes deluxe outside cabin for producer and guest  and airfare from the nearest home city gateway ! * *  * * as determined by ppmg travel coordinator .  ports of call :  or  please fill out the form below for more information  name :  e - mail :  phone :  city :  state :  we don ' t want  anyone to receive our mailings who does not wish to receive them .  this is a professional communication sent to insurance professionals .  to be removed from this mailing list , do not reply to this  message . instead , go here :  http : / / www . insurancemail . net  legal notice ",1
"Subject: search engine position  be the very first listing in the top search engines immediately .  our company will now place any business with a qualified website  permanently at the top of the major search engines guaranteed never to move  ( ex : yahoo ! , msn , alta vista , etc . ) . this promotion includes unlimited  traffic and is not going to last long . if you are interested in being  guaranteed first position in the top search engines at a promotional fee ,  please contact us promptly to find out if you qualify via email at  searchl 1 @ telefonica . net . pe it ' s very important to include the url ( s ) if you  are interested in promoting ! ! ! this is not pay per click . examples will  be provided .  this promotion is only valid in the usa and canada .  sincerely ,  the search engine placement specialists  if you wish to be removed from this list , please respond to the following  email address and type the word "" remove "" in your subject line :  search 6 @ speedy . com . pe",1
"Subject: get rid of premature ejaculation and last longer  new penis enlargement patches !  http : / / www . retdehola . com / ss /  self is the only prison that can bind the soul .  to the uneducated , an a is just three sticks .  from the sublime to the ridiculous is but a step .  no nice men are good at getting taxis .  a man cannot be too careful in the choice of his enemies .",1
"Subject: new position ( sam smith )  norma ,  the need for a new position within the research group has evolved along with  our expanding responsibilities , and we would like to fill that position with  an already on - board employee familiar with same , that person being william  ( sam ) smith .  the new position created it that for a staff specialist , who would be  responsible for technical duties including evaluation and quality control of  weather forecasting procedures , design and preparation of the research  intelligence intelligence newsletter , operational responsibilities related to  morning report assembly , and hurricane season surveillance as well as  satellite system supervision . .  we would like to make this retroactive to january lst of this year .  - - - mike roberts",0
